Year,State,Shopping expenditure,Purchase of automotive fuel expenditure,Transportation expenditure,Food & beverage expenditure,Accomodation expenditure,Entrance ticket expenditure,Other expenditure,Visited household expediture,Tourism receipts (RM),Domestic visitor,Tourism trip,Average receipts per capita (RM),Average receipts per trip (RM),Average length of stay (day),Household,Income mean (RM),Income median (RM),Expenditure mean (RM),Expenditure burden (%),Inflation (%),Receipts per visitor (RM),Receipts per household (RM)
2022,Johor,1601286,739862,408115,708035,576209,234307,154571,465968,4888000000,12376000,12965000,395,377,2.34,1073400.0,8517.0,6879.0,5342.0,77.66,3.42,394.96,4553.75
2023,Johor,2112096,976142,532169,1017258,967492,250643,231663,611655,6699000000,15805000,16494000,424,406,2.18,1101800.0,9000.5,7295.5,5634.5,77.23,2.42,423.85,6080.05
2024,Johor,2530149,1107583,609000,1184686,1030010,260313,303736,788939,7814000000,17138000,19204000,456,407,2.55,1130600.0,9484.0,7712.0,5927.0,76.85,1.76,455.95,6911.37
2025,Johor,2746983,1210563,692665,1333180,1131267,316602,350274,941391,8723000000,18197000,21247000,479,411,2.68,1159400.0,9967.5,8128.5,6219.5,76.51,1.96,479.36,7523.72
2022,Kedah,1120773,529885,368103,632656,265960,153901,90130,308413,3470000000,11186000,11894000,310,292,2.11,546900.0,5550.0,4402.0,3765.0,85.53,2.59,310.21,6344.85
2023,Kedah,1239688,590600,414830,793909,497519,164249,126095,379729,4207000000,13444000,13687000,313,307,2.03,556300.0,5671.5,4648.5,3896.5,83.82,1.69,312.93,7562.47
2024,Kedah,1454556,656463,480051,960765,531785,184690,187877,504962,4961000000,14651000,15984000,339,310,2.77,565900.0,5793.0,4895.0,4028.0,82.29,1.3,338.61,8766.57
2025,Kedah,1576858,804194,519526,1040119,587964,223964,215237,552388,5520000000,15608000,17650000,354,313,2.82,575500.0,5914.5,5141.5,4159.5,80.9,0.75,353.66,9591.66
2022,Kelantan,848001,501126,157863,411718,168225,14360,81508,403423,2586000000,6627000,8784000,390,294,3.16,376700.0,4885.0,3614.0,3505.0,96.98,2.78,390.22,6864.88
2023,Kelantan,1003376,604358,211088,531883,316649,23127,99266,438638,3228000000,7549000,9300000,428,347,3.07,383600.0,5075.0,3848.5,3665.0,95.23,1.69,427.61,8415.02
2024,Kelantan,1392100,760737,322821,803351,430561,84729,161424,584889,4541000000,10514000,12464000,432,364,2.98,390500.0,5265.0,4083.0,3825.0,93.68,1.0,431.9,11628.68
2025,Kelantan,1567481,934127,362241,925230,486942,104703,190762,667523,5239000000,12062000,13711000,434,382,2.98,397400.0,5455.0,4317.5,3985.0,92.3,0.34,434.34,13183.19
2022,Melaka,2101242,636477,292391,761938,408082,172531,180698,289236,4843000000,11757000,16668000,412,291,2.14,285000.0,8057.0,6210.0,5707.0,91.9,2.76,411.92,16992.98
2023,Melaka,2422343,880013,313382,1043776,691100,252793,272357,562648,6438000000,15559000,20094000,414,320,2.23,294200.0,8371.5,6550.5,5959.5,90.98,2.39,413.78,21883.07
2024,Melaka,2937453,1019902,410871,1310169,891618,337869,349869,675455,7933000000,19128000,24174000,415,328,2.13,303600.0,8686.0,6891.0,6212.0,90.15,1.34,414.73,26129.78
2025,Melaka,3125361,1192861,484995,1460170,954518,364060,389724,760707,8732000000,20832000,36436000,419,330,2.11,313000.0,9000.5,7231.5,6464.5,89.39,1.49,419.16,27897.76
2022,Negeri Sembilan,1390422,513075,224825,599653,398553,145053,92107,287652,3651000000,11490000,14279000,318,256,2.48,334000.0,6788.0,5226.0,4678.0,89.51,2.74,317.75,10931.14
2023,Negeri Sembilan,1803079,681417,248823,797144,521773,236613,127073,361359,4777000000,14959000,17801000,319,268,2.42,343500.0,7046.5,5408.5,4896.5,90.53,1.96,319.34,13906.84
2024,Negeri Sembilan,1955548,778045,363511,1008167,539424,398565,208574,617628,5869000000,17785000,21817000,330,269,2.25,353200.0,7305.0,5591.0,5115.0,91.49,1.24,330.0,16616.65
2025,Negeri Sembilan,2166545,936212,417566,1151803,567601,427983,226551,635001,6529000000,19357000,24064000,337,271,2.29,362900.0,7563.5,5773.5,5333.5,92.38,1.68,337.29,17991.18
2022,Pahang,1557675,752635,341894,833970,746482,323359,316119,444654,5317000000,13189000,14994000,403,355,2.11,421700.0,5777.0,4753.0,4107.0,86.41,2.98,403.14,12608.49
2023,Pahang,1943890,949299,384026,989218,1000261,366394,379835,720421,6733000000,16456000,17633000,409,382,2.13,432000.0,5921.5,4864.0,4237.5,87.12,2.67,409.15,15585.65
2024,Pahang,2610346,1214356,523225,1280688,1202614,432981,494471,951079,8710000000,20174000,22665000,432,384,2.17,442400.0,6066.0,4975.0,4368.0,87.8,2.43,431.74,19688.07
2025,Pahang,2965383,1404852,608291,1444247,1312310,498537,567159,1045990,9847000000,23161000,25285000,425,389,2.21,452800.0,6210.5,5086.0,4498.5,88.45,1.19,425.15,21746.91
2022,Penang,1283191,456936,189044,596624,476692,192901,226473,226538,3648000000,10003000,11706000,365,312,2.59,519900.0,8267.0,6502.0,5322.0,81.85,3.21,364.69,7016.73
2023,Penang,2431318,599680,355326,983682,714831,242333,249697,237869,5815000000,13128000,15351000,443,379,2.4,532400.0,8709.5,6944.0,5586.0,80.44,2.62,442.95,10922.24
2024,Penang,3025861,821441,431434,1227183,961938,327800,306181,322454,7424000000,16605000,19160000,447,387,2.58,545100.0,9152.0,7386.0,5850.0,79.2,2.97,447.09,13619.52
2025,Penang,3423333,1019165,512166,1378621,1079517,368571,347860,361126,8490000000,17718000,21627000,479,393,2.65,557800.0,9594.5,7828.0,6114.0,78.1,1.15,479.17,15220.51
2022,Perak,1417637,804713,327462,835412,315002,160105,160918,520082,4541000000,14567000,17680000,312,257,2.43,695300.0,5779.0,4494.0,3903.0,86.85,3.23,311.73,6530.99
2023,Perak,1660659,936541,349674,1089592,659307,174448,190028,580776,5641000000,17108000,18831000,330,300,2.35,706800.0,5976.0,4590.5,4067.5,88.61,2.78,329.73,7981.04
2024,Perak,1993046,1180876,470561,1498753,757903,191682,252178,878798,7224000000,21776000,23904000,332,302,2.35,718500.0,6173.0,4687.0,4232.0,90.29,1.08,331.74,10054.28
2025,Perak,2250351,1390860,543730,1637041,795667,228115,269117,903656,8019000000,23642000,25697000,339,312,2.44,730200.0,6370.0,4783.5,4396.5,91.91,0.84,339.18,10981.92
2022,Perlis,140215,73487,38066,79949,51564,5423,19939,46977,456000000,1669000,1800000,273,253,2.35,87700.0,5664.0,4713.0,3834.0,81.35,3.18,273.22,5199.54
2023,Perlis,159277,104736,43644,104970,72931,8131,22783,67397,584000000,1951000,2139000,299,273,2.21,91300.0,5830.0,4831.5,3959.0,81.94,2.15,299.33,6396.5
2024,Perlis,288897,162108,76212,192032,98789,27211,35694,121871,1003000000,3225000,3660000,311,274,2.49,94900.0,5996.0,4950.0,4084.0,82.51,1.73,311.01,10569.02
2025,Perlis,327519,213863,101611,246445,118121,35913,38481,129250,1211000000,3756000,4335000,322,279,2.25,98500.0,6162.0,5068.5,4209.0,83.04,0.95,322.42,12294.42
2022,Sabah,1840070,612846,452575,723178,520313,208465,149094,319329,4826000000,12589000,17255000,383,280,3.06,766600.0,6171.0,4577.0,3342.0,73.02,2.95,383.35,6295.33
2023,Sabah,2461886,789981,547792,1093929,1008654,274259,176522,350492,6713000000,16080000,19900000,417,337,2.67,786300.0,6334.5,4733.5,3444.5,72.77,2.34,417.48,8537.45
2024,Sabah,3176540,986736,729374,1287622,1034404,458795,290917,669858,8634000000,20592000,24106000,419,358,3.01,806300.0,6498.0,4890.0,3547.0,72.54,1.24,419.29,10708.17
2025,Sabah,3589154,1250952,836013,1459229,1073566,508780,309257,726377,9753000000,22361000,26441000,436,369,3.15,826300.0,6661.5,5046.5,3649.5,72.32,1.17,436.16,11803.22
2022,Sarawak,2328732,761610,482660,738278,397027,150538,186510,385417,5431000000,15465000,19291000,351,282,3.52,636700.0,6457.0,4978.0,3915.0,78.65,3.15,351.18,8529.92
2023,Sarawak,2655605,989487,569398,981635,779551,225768,238725,502504,6943000000,17901000,21077000,388,329,3.48,646400.0,6702.0,5241.0,4098.0,78.19,3.1,387.86,10741.03
2024,Sarawak,3208490,1033752,700774,1124258,823116,243995,290781,531505,7957000000,19626000,23362000,405,341,3.09,656300.0,6947.0,5504.0,4281.0,77.78,2.37,405.43,12124.03
2025,Sarawak,3647933,1266911,789285,1314346,872604,296203,310811,640282,9138000000,22722000,26388000,402,346,3.1,666200.0,7192.0,5767.0,4464.0,77.41,0.96,402.17,13716.6
2022,Selangor,3854964,1174775,673359,1170119,669944,256033,305404,630209,8735000000,21990000,25988000,397,336,2.32,1952800.0,12233.0,9983.0,6770.0,67.82,4.17,397.23,4473.06
2023,Selangor,4144811,1562916,769174,1847020,1299080,351236,407906,720570,11103000000,27579000,28949000,403,384,2.24,2012500.0,12764.5,10354.5,7018.0,67.78,2.85,402.59,5517.02
2024,Selangor,6091680,1816491,911441,2224198,1369214,508593,577145,727363,14226000000,34461000,37023000,413,384,2.24,2073199.0,13296.0,10726.0,7266.0,67.74,2.18,412.81,6861.86
2025,Selangor,6661693,2166560,1043955,2482164,1487463,562999,599805,757086,15762000000,36376000,40803000,433,386,2.31,2133898.0,13827.5,11097.5,7514.0,67.71,1.68,433.31,7386.48
2022,Terengganu,1491085,457090,195005,524112,292024,71732,126640,205609,3363000000,10233000,12791000,329,263,2.69,298600.0,7248.0,5878.0,4796.0,81.59,3.05,328.64,11262.56
2023,Terengganu,1650481,582975,248973,791250,359323,98603,165869,294844,4192000000,11761000,13869000,356,302,2.59,306900.0,7437.5,6252.5,5007.5,80.09,1.8,356.43,13659.17
2024,Terengganu,2033824,663228,309689,947370,437078,140166,222002,417004,5170000000,14461000,16499000,358,313,2.5,315500.0,7627.0,6627.0,5219.0,78.75,1.5,357.51,16386.69
2025,Terengganu,2245804,785512,366951,1071007,489089,157562,243738,435480,5795000000,15462000,18201000,375,318,2.76,324100.0,7816.5,7001.5,5430.5,77.56,1.3,374.79,17880.28
