Year,State,Shopping expenditure,Purchase of automotive fuel expenditure,Transportation expenditure,Food & beverage expenditure,Accomodation expenditure,Entrance ticket expenditure,Other expenditure,Visited household expediture,Tourism receipts (RM),Domestic visitor,Tourism trip,Average receipts per capita (RM),Average receipts per trip (RM),Average length of stay (day),Household,Income mean (RM),Income median (RM),Expenditure mean (RM),Expenditure burden (%),Inflation (%),Receipts per visitor (RM),Receipts per household (RM)
2018,Johor,1731645,1275235,455811,887832,681081,312497,344688,1037623,6726000000,13487000,17646000,499,381,2.54,949100,,,,,1.00,498.70,7086.71
2019,Johor,2010838,1439192,466143,971456,740566,319504,352689,1109290,7410000000,14274000,19136000,519,387,2.54,966000,8013,6427,4793,74.58,0.67,519.13,7670.81
2020,Johor,1119630,258308,188347,430119,130846,42027,67138,195159,2432000000,7243000,7915000,336,307,1.85,1017727,7264,5690,,,-1.46,335.77,2389.64
2021,Johor,495151,164824,89338,152467,77690,75139,60462,136779,1252000000,3658000,3797000,342,330,2.06,1045400,,,,,2.47,342.26,1197.63
2022,Johor,1601286,739862,408115,708035,576209,234307,154571,465968,4888000000,12376000,12965000,395,377,2.34,1073400,8517,6879,5342,77.66,3.42,394.96,4553.75
2023,Johor,2112096,976142,532169,1017258,967492,250643,231663,611655,6699000000,15805000,16494000,424,406,2.18,1101800,,,,,2.42,423.85,6080.05
2024,Johor,2530149,1107583,609000,1184686,1030010,260313,303736,788939,7814000000,17138000,19204000,456,407,2.55,1130600,9484,7712,5927,76.85,1.76,455.95,6911.37
2025,Johor,2746983,1210563,692665,1333180,1131267,316602,350274,941391,8723000000,18197000,21247000,479,411,2.68,,,,,,1.96,479.36,
2018,Kedah,1273264,869717,294087,710532,577166,128156,180637,690901,4724000000,14480000,19648000,326,240,2.29,512799,,,,,-0.84,326.24,9212.19
2019,Kedah,1399436,923666,322492,793884,663296,128539,204575,772243,5208000000,14831000,19500000,351,267,2.31,521000,5522,4325,,,1.36,351.16,9996.16
2020,Kedah,956498,286543,215184,485976,132888,26850,40465,128287,2273000000,10108000,10362000,225,219,1.97,528228,5005,3829,,,-1.77,224.87,4303.07
2021,Kedah,258909,110838,95010,157025,78874,86977,14801,39770,842000000,4023000,4241000,209,199,1.96,537500,,,,,2.56,209.30,1566.51
2022,Kedah,1120773,529885,368103,632656,265960,153901,90130,308413,3470000000,11186000,11894000,310,292,2.11,546900,5550,4402,3765,85.53,2.59,310.21,6344.85
2023,Kedah,1239688,590600,414830,793909,497519,164249,126095,379729,4207000000,13444000,13687000,313,307,2.03,556300,,,,,1.69,312.93,7562.47
2024,Kedah,1454556,656463,480051,960765,531785,184690,187877,504962,4961000000,14651000,15984000,339,310,2.77,565900,5793,4895,4028,82.29,1.30,338.61,8766.57
2025,Kedah,1576858,804194,519526,1040119,587964,223964,215237,552388,5520000000,15608000,17650000,354,313,2.82,,,,,,0.75,353.66,
2018,Kelantan,1271154,828218,269436,614793,151891,11468,168156,686280,4001000000,9846000,14238000,406,281,2.88,350400,,,,,0.66,406.36,11418.38
2019,Kelantan,1501917,998443,331855,767457,205743,11566,192469,790591,4800000000,10986000,15911000,437,302,3.01,355000,4874,3563,,,0.38,436.92,13521.13
2020,Kelantan,732405,161394,132774,312646,59018,10095,26967,119822,1555000000,6058000,6568000,257,237,1.86,363251,4411,3010,,,-1.47,256.69,4280.79
2021,Kelantan,207489,90214,18132,85867,19041,7620,6898,41961,477000000,1921000,1972000,248,242,3.14,370000,,,,,3.11,248.31,1289.19
2022,Kelantan,848001,501126,157863,411718,168225,14360,81508,403423,2586000000,6627000,8784000,390,294,3.16,376700,4885,3614,3505,96.98,2.78,390.22,6864.88
2023,Kelantan,1003376,604358,211088,531883,316649,23127,99266,438638,3228000000,7549000,9300000,428,347,3.07,383600,,,,,1.69,427.61,8415.02
2024,Kelantan,1392100,760737,322821,803351,430561,84729,161424,584889,4541000000,10514000,12464000,432,364,2.98,390500,5265,4083,3825,93.68,1.00,431.90,11628.68
2025,Kelantan,1567481,934127,362241,925230,486942,104703,190762,667523,5239000000,12062000,13711000,434,382,2.98,,,,,,0.34,434.34,
2018,Melaka,2124265,806550,191087,1048186,493356,268700,232563,398829,5564000000,13123000,21654000,424,257,2.23,235200,,,,,0.70,423.99,23656.46
2019,Melaka,2469293,958393,278653,1132249,500772,299681,246469,484383,6370000000,13979000,24043000,456,265,2.29,240000,7741,6054,4955,81.85,0.08,455.68,26541.67
2020,Melaka,1092317,235906,108040,551633,152947,58229,43603,129950,2373000000,7275000,9964000,326,238,1.80,267074,7186,5447,,,-1.89,326.19,8885.18
2021,Melaka,125283,100311,48276,154233,67212,84272,20841,103685,1004000000,3878000,4364000,259,230,1.86,276000,,,,,2.36,258.90,3637.68
2022,Melaka,2101242,636477,292391,761938,408082,172531,180698,289236,4843000000,11757000,16668000,412,291,2.14,285000,8057,6210,5707,91.90,2.76,411.92,16992.98
2023,Melaka,2422343,880013,313382,1043776,691100,252793,272357,562648,6438000000,15559000,20094000,414,320,2.23,294200,,,,,2.39,413.78,21883.07
2024,Melaka,2937453,1019902,410871,1310169,891618,337869,349869,675455,7933000000,19128000,24174000,415,328,2.13,303600,8686,6891,6212,90.15,1.34,414.73,26129.78
2025,Melaka,3125361,1192861,484995,1460170,954518,364060,389724,760707,8732000000,20832000,36436000,419,330,2.11,,,,,,1.49,419.16,
